,text,title
0,"This workout is like a car wreck. As you drive by, the cops tell you to keep moving because there's nothing to see. But you can't look away. Created by <a href=""https://www.bodybuilding.com/store/mt/muscle.htm"">MuscleTech</a>- and Bodybuilding.com-sponsored athlete Abel Albonetti, this brutal shoulder workout is going to be super tough, with lots of volume and lots of dropsets, supersets, triple dropsets, and static holds. They're all intended to build those big, round shoulders you'd drive a thousand miles for. <strong>Warning:</strong> Albonetti recommends doing this workout only once a month. This is too much volume to do every week. With each set you do, increase the weight as you decrease the reps until you get to the last set, your triple dropset. Take each dropset to complete failure. Albonetti wants you to do these exercises in a squat rack with the safety rack set at about shoulder height. This will allow you to move quickly from the presses to the side raises. Do a set of presses followed immediately by a set of lateral raises, bringing up the dumbbells until your forearms touch the safety racks. The lateral raises should be performed as dropsets, so when you fail with your starting weight, replace those dumbbells with a lighter pair. After you hit failure on the second dropset, lift up your unweighted arms and press them against the underside of the safety racks and hold for a 20-second isometric squeeze. Aim for 4 sets of 10 reps. Every set will be a dropset. Go to complete failure, which should be after 6-8 reps. Albonetti's tortured twist on the cable shoulder press is to do 8 reps with one arm, 8 reps using the other arm, and then 8 reps with both arms. Adding to the challenge, he wants you to hold the arm that isn't lifting in a locked-and-loaded position for those 8 reps. Albonetti starts with a different arm each workout to prevent one arm from becoming dominant. Albonetti does standing low-pulley delt raises while leaning to maintain continuous tension on the working shoulder. He also runs the cable between his legs, which helps him hit his mid delt harder. He chooses a weight that causes him to fail between 12-15 reps, then he bangs out some partial reps. Again, switch arms with each consecutive set to balance your development. Finish the giant set with 12-15 reps of cable rear delt flyes. When you finish the last set, do a triple dropset. For this exercise, Albonetti wants you to keep the cables as high as the apparatus allows, then cross them over as you lift. Don't let the weight pull the handles behind the plane of your torso during the negative. Use the same dumbbells to do your front and side raises. Choose a pair 5 pounds lighter for the incline reverse dumbbell flyes. When you do the dumbbell front raises, your palms should face down. As you raise the dumbbells, twist your wrists slightly until your pinkies are slightly higher than your thumbs. Albonetti has you doing reverse flyes on an incline bench because it eliminates momentum, focusing all your effort on the rear heads of the deltoids.",Abel Albonetti's Total-Shoulder-Builder Workout
1,"It's exciting to start a leaning-out cycle because you probably have an image in your mind of what the results will look like: a tight, muscular physique, one that enables you to wear whatever you want without worrying about how it fits. How awesome will that be? Then reality sets in. You think about the endless hours of treadmill work that it will take to reach your goals. And your motivation begins to fade. Is there a better way? Yes. Use weight training to not only build muscle but also burn off a layer or two of body fat. By pushing yourself to crank out more reps, your heart rate goes up, your body temperature rises, and you'll burn more calories than you ever thought possible. This 28-minute workout has precisely that goal in mind. It's based on a lifting concept called AMRAPs, short for ""as many reps as possible"" done within a specific period of time. One reason this workout is perfect for shedding body fatis that it works most of your body. You've likely read about full-body workouts and the benefits they offer. Work more muscles in less time, and get a more complete workout than a standard split. <a href=""https://www.bodybuilding.com/content/3-full-body-workouts-for-cutting-body-fat.html"">Full-body workouts</a> can help you <a href=""https://www.bodybuilding.com/content/10-best-ways-to-lose-fat-faster.html"">burn more calories</a> before and after your workout. Here, you'll start with the big muscle groups of the lower body and work your way up. For each move, select a weight that you'd normally do for 20-25 reps before failure. Perform each exercise for 5 minutes straight. Once you're ready, start the clock and begin repping. Remember, this is a timed workout, not a ""for time"" workout, so do not sacrifice form by letting speed take over. Once you reach failure, rest a few seconds until you feel you can go again, whether that's in 5, 10, or even 20 seconds. The goal is to push yourself to do <a href=""https://www.bodybuilding.com/content/the-simple-strength-trick-to-get-the-most-out-of-heavy-lifts.html"">as many reps as you can</a> before the five minutes is up. Once time runs out, rest for 2 minutes and move to the next exercise. Repeat this 5-minute protocol and 2-minute rest period for all four exercises. By the end, you'll have performed a 28-minute, full-body HIIT session. Do this workout once or twice a week in place of whatever you would normally do for cardio. In just a few short weeks, you'll be totally shredded and ready to go. Here's why I chose each exercise, along with a few tips on how to perform them as effectively as possible: Machines help you maintain form and minimize injury risk, both of which will be important with a heavy, high-volume workout like this. The leg press puts more emphasis on the quads, which are the <a href=""https://www.bodybuilding.com/content/4-time-tested-strategies-to-boost-your-bench.html"">bigger, more powerful muscles</a> in the legs. Place your feet at a height on the sled that helps you best isolate your quads. Whenever you train quads, balance that effort with hamstring work. Maintain constant tension on your hamstrings throughout the set. This exercise targets your lats, rear delts, and bicepsâbasically every ""pull"" muscle in your upper body. Don't be afraid to pull heavy; if you need straps to help with grip, go for it. If you want to <a href=""https://www.bodybuilding.com/content/4-unusual-gym-tools-to-build-serious-grip-strength.html"">work on grip strength</a>, leave the straps in the gym bag and push through without helpâor rather, pull through. The incline press attacks the pecs, front delts, and triceps. An incline machine offers more control than free weights, allowing you to lift heavier and for greater volume. If you don't have access to one, load up a <a href=""https://www.bodybuilding.com/fun/smith-machine-training-tip-watch-the-angles.html"">Smith machine</a> and slide an incline bench under the bar. If you don't have access to a Smith, use dumbbells. I don't recommend the barbell version because by now you'll be tired and you might get stuck. Even with a spotter, don't risk it with a workout like this.",The 28-Minute AMRAP Workout To Build Muscle And Burn Fat
2,"There's one thing every perfectly-proportioned lifter's body must have: that sleek V-taper. Your back and shoulders have plenty to do with it, sure, but your chest matters, too! IFBB Physique pro Stephen Mass has seen his fair share of bodybuilding competitions, and like many pros out there, he knows how to build a chest that stands out from every angle. Even if you're not planning to step onstage, this workout will help you build mass right where you need it by targeting every angle of your chest. Each pair of exercises targets the chest from a specific angle using a press and fly combination. Look at it this way: If it can make a guy whose last name is Mass feel the burn, you'd better believe it'll work for you. You'll start with an incline superset to focus on the upper chest. Stay in moderate rep range of 8-12 reps per set, building your way up, meaning you're not hitting failure until the last set. After each set of presses, go straight into the flyes. ""What I like to do sometimes on the incline flyes is to stand up so the top of my chest is basically in line with the top of the bench,"" says Mass. ""I kind of hang my head back and I really try to focus right along that upper portion of the chest. That's going to accent that <a href=""https://www.bodybuilding.com/content/build-your-classic-v-taper.html"">V-taper</a> look that we're going for."" This superset burns like crazy, and you'll really feel the stretch across the upper chest. Working the upper pecs is about creating that shelf near the collarbone, and it can take some practice to get it right. ""I play with the variations,"" Mass adds. ""One that I really like to do is hold [the weight] at about a 45-degree angle with the hands."" You're using dumbbells, not a machine, so you're not going to get <a href=""https://www.bodybuilding.com/content/8-tips-for-getting-crazy-ripped.html"">consistent resistance</a> all the way to the very top of the movement. Mass uses his 45-degree grip to build a stronger mind-muscle connection and really flex it out at the top. Just really try to focus on every rep, flex at the top, and don't let the dumbbells touch. The leverage or hammer press offers a safer alternative to the traditional barbell flat bench for intense, high-volume training. Since you don't have to worry about stabilizing a barbell or dropping dumbbells, you can really stretch out on both of these exercises and push your limits. This superset targets the middle of the chest, working the broader, fan-shaped pec major muscles. You're definitely going to feel it working the larger part of the muscle. ""Because we're supersetting, we're getting a little extra build-up of lactic acid in the muscles,"" explains Mass. ""It's going to burn a bit more, and you're pushing past that barrier of just doing a straight set and resting."" In this superset, you're doing a compound movement firstâalmost to failureâand again go right into an isolation movement. This overloads the muscles, creating microtears and filling it up with the blood it needs to grow. Push yourself to failure on the last superset, doing more of a controlled failure on the pec-deck, because it is an isolation movement and you don't want to injure your pecs. For the final superset, you're doing decline bench press and high-to-low cable flyes, working on the lower portion of the pec and the insertion point. When working the <a href=""https://www.bodybuilding.com/content/the-8-best-dumbbell-moves-for-chest-development.html"">lower pecs</a>, form is critical. You must keep your chest up and shoulders retracted to ensure your pecs do the work and not the supporting muscle groups, especially on the cable fly, where it's very tempting to swing your body. Keep your movements slow and controlled, and work up to failure on the final set. After doing an incline superset, a flat superset, and a decline superset, we've attacked the entire pectoral muscle, leaving a nice, full chest, and accenting that V-taper we're going for. Failure, full range of motion, fatigueâwe've given the chest everything it needs to grow, from every angle. Remember, the goal of this workout is to shape that V-taper, so you're going to finish off the chest day with a couple of pyramid sets of lateral raises. The two sets we're doing for shoulders is really 5 sets in one. Perform 10 reps with a light weight, 10 reps with medium, 10 with heavy, back down to medium, back down to light. Go through this up-down pyramid twice, and you're done! For more chest-building ideas and programs to build your perfect physique, be sure to check out the workout plans on Bodybuilding.com <a href=""https://www.bodybuilding.com/workout-plans/"">All Access</a>.",V-Taper Chest Workout With Stephen Mass
3,"A pair of strong, sculpted shoulders is shorthand for, ""Don't mess with meâ¦unless I ask you to."" Having big show muscles is one thing, but a strong upper frame tells the world you're serious about your physique. So, we recently invited four top trainers to come to Bodybuilding.com headquarters in Boise, Idaho, to take us through their best workouts for shoulders. You've got some choices to make, so give each workout a try and see which ones work best for you! Keep your shoulders level, your core engaged, and your body still throughout this movement. Stand next to a squat rack or other machine with your feet together. Grab onto the machine and lean away. This is your starting position. Perform the raises slowly and under control. Keep the shoulder lifting the weight away from your ear. Do these flyes ""T-Y-I"" style. For the ""T"" position, move your arms out to the side at 90 degrees to form a ""T"" with your body. Next, move your arms forward until they are at 45 degrees to your head for the ""Y"" position. To form the ""I,"" move your arms farther forward until they are along your ears and straight ahead. Those three moves equal one single rep. Keep your body still and don't cheat the move by swinging your arms before lifting. Stand up straight and stillâmake the movement come from only your shoulders. Swap the bar for a D-handle and do these push-downs one arm at a time using a pronated grip (palm facing floor). With your elbow bent 90 degrees, push the grip down until your arm is extended. Give your triceps a big squeeze at the bottom of the movement. Skullcrushers are all about control. Keep your elbows in place and move only your forearms and hands. Do these quickly to warm up for the lifts. If you're using heavy weights, save your back by using your thighs to move the dumbbell into position. Rotate your wrists so your palms face forward. Use a neutral grip (palms inwards, thumb pointing forward) to hit your front deltoid. If you want some extra work on this one, take a tip from Rodney Razor and don't lock out your arms at the top of the press. Stop short of full lockout to challenge your arms and your shoulders. Maintain good posture throughout the exercise. Achieve a good contraction at the top of the movement, then take 2-4 seconds on the negative. Like what you see? Check out Meg's strength program, <a href=""https://www.bodybuilding.com/workout-plans/about/uplifted-build-muscle-and-strength-with-meg-squats"">Uplifted</a>! Do a slow (2-4 second) negative on this exercise, keeping the weights under control as you lower them toward the floor. When you're able to do 12 reps, increase the weight. Choose a weight that allows you to do slow negatives. For a more advanced movement, stop before your arms are fully extended and hold the weight there for more time under tension. Don't take the weights below your ear. Don't lock out your arms on the positive. Go slowly. Razor's ""<a href=""https://www.bodybuilding.com/fun/fitness-360-rodney-razor-razor-sharp-training.html"">Razor-Sharp Training</a>"" offers insight into bodybuilding nutrition, how to do ""cardio in disguise,"" and a four-day major body-part-split training regimen. Stand erect with shoulders back, chest up. Move only your forearms and hands. Maintain good posture. Don't bring the weight down any lower than your ear. Don't lock out your arms at the top. Take this one nice and slow to get a full biceps stretch at the bottom and a good triceps stretch at the top. Keep your body still as you do these raises. No momentum or body English allowed. Do these presses one arm at a time. Keep your elbows in. Don't lock out your arms at the top. Casad has a serious <a href=""https://www.bodybuilding.com/fun/brian-casad-ultimate-fat-burning-workout.html"">Ultimate Fat-Burning workout</a>, too. Check it out!",4 Workouts That Are Insanely Effective At Building Shoulders
4,"Kris Gethin had been overdue for a shoulder surgery for a long time, and postponing it simply was no longer an option. But when the date was finally just over the horizon, he didn't wallow in impending doom. He said farewell to shoulder training in the most <a href=""https://www.bodybuilding.com/store/kaged-muscle.html"">Kaged Muscle</a> way imaginable: He invited Kaleb Redden, one of the docs who would be in the procedure, to join him for a 400-rep deltoid salute. Starting with the rear delts and moving forward, the pair went through 12 sets of dumbbell workâwith plenty of dropsets mixed in, of courseâbefore ending on a Gethin fave, shoulder presses on a hack squat machine. Just a warning, though: If you do try to hang with these two experienced bodybuilders rep-for-rep, prepare to be hanging out at the light end of the dumbbell rack. ""We didn't go crazy heavy on weight. We just kept the intensity very high, kept the rest periods minimal, and kept the volume up as well. So, you may look at the weights and go, 'That's not that bad.' Try to match us for the reps, and the rest periods,"" Gethin says. The entire workout should take no more than 30-45 minutes tops, even if you stop to swap shoulder-injury war stories in the second half like Kris and Kaleb did. But even with that pause, this is a true delt-melter. ""If you can't drink your <a href=""https://www.bodybuilding.com/store/kaged-muscle/in-kaged.html?skuId=KAG4690241"">In-Kaged</a> or you can't pick your nose, you know you're on the right track,"" Gethin says. This is a classic Gethin-style compound set: 20 strict reps with the chest supported, followed by 20 reps allowing a touch of momentum. To make it work, though, you need to make sure that your strict reps are actually strict. ""Don't squeeze your traps too much,"" Gethin advises. ""Don't raise up, don't raise back. Raise out. Make sure it's all delts, no back."" A training partner can further help by cuing you to hit their hand with the weight in the right position. ""A lot of people neglect their rear delts. That's why I like to start with it. And it's the exercise that doesn't bother me at all, so I like to warm up with that exercise,"" Gethin says. Any doubts about your form? Go lighter. This isn't the Olympics of rear delt flyes. And that last set, Gethin says, is the money set. It's basically 80 reps without more than a couple of seconds of rest in the middle. If prioritizing rear delts is new to you, expect to have yours crowing at you like roosters when you wake up tomorrow morning. Get ready for light weights to feel seriously heavy. The seated lateral raises are nothing out of the norm, except that you'll be doing a double dropset with each setâso 15, 15, and 15. Stepping down in increments of 10 pounds is just about right. If you have to use straps in order to keep your grip from limiting you, do it. And if you have to think of your 15 reps as 3 sets of 5 with a brief rest-pause in each one, do that, too. After that, you'll use some seriously light weightsâKris and Kaleb use 10sâfor 15 reps of a standing lateral raise that ends with the weights meeting in front of the chest. ""These are the ones that are going to hurt, man,"" he promises. ""As soon as the form starts to falter, rest and re-align so you can get it right."" Two rounds of this should feel like more than enough. The dumbbell front raises are performed one-and-a-half-rep style. That means you'll go to around chest level, and then to just above eye level, to count as one rep. If holding a single dumbbell puts too much strain on the front of your shoulder, use two very light dumbbells instead. After that, do the flipside of how you ended your last superset. You'll start with a light double-dumbbell front raise, then bring the dumbbells out into a lateral raise. Keep your palms facing down through both movements. Your shoulders should already be cooked by now. But you've got one more stop: a shoulder press machine for 3 burnout sets of 20 using light weight. Kris favors a hack squat-style machine, but if the sled on your gym's hack squat is too heavy, you could use cables, a landmine, or a simple shoulder press machine instead. What's the advantage of using a leg machine? ""You can target the part of the delt that you wish, whether you really lean into it to get more of your side delts, or come back a little bit so you're pressing with a bit more of the front delts,"" Gethin says. Yes, you'll have to do these with seriously light weights to be able to last 20 reps. But Gethin promises that all this light work will help you move heavier weight down the line. ""I find a lot of people train shoulders a little bit too heavy,"" he says. ""They have too much momentum, and they don't activate the delts as much as their traps or their rhomboids or pecs. Going a little lighter every now and then gets you a better neuromuscular response, so when you do go heavy, you know exactly how that exercise should feel. That's 400 reps, and that's a wrap. If you can get a shaker bottle to your face, then go the extra distance and give yourself a well-earned pat on the back.",Get Wide Or Die Trying With Kris Gethin's Delt-Destroying Dumbbells
5,"Bodybuilding.com Signature athlete Tanner Hobbs has a simple approach to fitness: Life is too precious not to feel confident in your own skin. As a successful online fitness coach, Hobbs is on a mission to help you build the body you want with simple, fun workouts that don't require tons of time or extra equipment. For this workout, all you need is a cable-cross stack and a couple of attachmentsâthat's it! This workout takes about 45 minutes from start to finish, so keep those rest periods between 45-60 seconds, and let's get to it! Many a great back workout starts with pull-ups or <a href=""https://www.bodybuilding.com/content/sexy-back-jessie-hilgenberg-back-workout.html"">pull-downs</a>. For this workout, Hobbs selects the wide-grip option to target the lats. Since it can be tricky to feel this exercise in the right muscles, Hobbs has a few tips to help. ""Squeeze your elbows down and in toward your tail bone,"" she recommends. ""And keep your chest up."" If it's a struggle to complete 8 reps, the weight is too heavy. If you can easily get to 10 reps and even do a few more, the weight is too light. Use your <a href=""https://www.bodybuilding.com/fun/other7.htm"">first set</a> to see where you're at, and adjust as needed. For this second exercise, use exactly the same setup as the first, but flip your grip so your palms face you, and move your hands closer together. A narrow-grip pull-down is great for targeting the middle of the back, including several important postural muscles. If you've never done a narrow-grip pull-down before, Hobbs suggests keeping your elbows squeezed in toward body. Another helpful tip is to lift your chest up to the bar as you pull it down. This will keep your <a href=""https://www.bodybuilding.com/content/ladies-6-exercises-for-sexy-and-shapely-shoulders.html"">shoulders</a> down and prevent you from using momentum to pull the bar. Also called a straight-arm pull-over or pull-through, this exercise is great for isolating the lats, since you can't use your arms to help. Go lighter on isolation exercises at first, so you can learn the movement and make sure you're targeting the right muscles before going heavier. Stand in front of the cable and grip the bar with an overhand grip, hands about shoulder-width apart. You can also use a rope attachment for this exercise if you prefer. Some people like to hinge forward from the hips for <a href=""https://www.bodybuilding.com/content/5-stretches-every-lifter-needs-to-do.html"">better range of motion</a> and a stretch through the shoulders at the top. ""Either way,"" Hobbs says, ""keep you core tight and really focus on your lats as you pull down."" Upper-back details can be difficult to etch and reveal, which is why focused exercises like the face pull are a must for your back routine. Use the rope attachment for this exercise and stagger your feet so you don't swing as you pull the weight. Hobbs recommends keeping your elbows high throughout the movement, but try not to shrug your shoulders. ""Keep your <a href=""https://www.bodybuilding.com/content/posture-power-how-to-correct-your-body-alignment.html"">shoulders down</a> away from your ears,"" she explains, as this keeps the work in the upper back rather than the neck. ""Think about squeezing a pencil between your shoulder blades."" If you are dominant on one side of your body, single-arm exercises can help balance out your strength. Set the cable at a height even with your bellybutton, using the handle attachment so you can <a href=""https://www.bodybuilding.com/content/the-ultimate-no-fluff-womens-training-guide-part-2.html"">rotate through the wrist</a> as you pull. To do the single-arm row, keep the shoulder corresponding to your working arm down and back, and rotate your wrist as you pull the handle back. ""Start the pull with your palm facing down and end with your palm up,"" explains Hobbs. This rotation engages the muscles that attach to the shoulder blade, working your mid back. Since you're standing for this exercise, keep your <a href=""https://www.bodybuilding.com/content/3-bodyweight-workouts-you-can-do-anywhere.html"">core engaged</a> and your body still. Once you complete 10-12 reps on one side, perform the same number on the opposite side before you rest. This exercise is performed with both knees on the floor and the cable pulley set to about shoulder height. This position makes it virtually impossible to use <a href=""https://www.bodybuilding.com/content/best-beginner-weight-training-guide-with-easy-to-follow-workout.html"">momentum</a> or swing to move the weight. ""By kneeling on both knees,"" explains Hobbs, ""you take your lower body completely out of the exercise."" You can use the V-bar attachment, two handles, or even the bar, if that's all you have to work with. Use a mat or a towel to cushion your knees. Keep your chest up and squeeze together your shoulder blades. Pull the weight with your back, not your arms. Do this workout every week in place of your normal back workout, or just throw it into your split if the gym is busy and the cable machine is all you have. For more great workout ideas, check out our list of new and popular programs by clicking the <a href=""https://www.bodybuilding.com/workout-plans/"">Workout Plans</a> link at the top of the page.",Cable-Only Back Workout With Tanner Hobbs
6,"If you've been in the iron game for more than a day, you know it takes more than curls to build big arms. Believe it or not, the triceps make up the majority of your arm mass above the elbow, so if you want bigger arms, it's tricepsânot bicepsâthat need to be the priority. There are three heads to the tricepsâhence the ""tri"" in the name. The long head of the triceps is the one you see when you flex the back of your arm. The lateral head is the one directly behind it that helps complete the horseshoe shape. Then there's the medial head, which is the most difficult one to see because it sits underneath the other two. All three heads must be trained to develop size and strength in the upper arm. While it's basically impossible to work one head without the other two helping out, you can make sure one head does the majority of the work using exercises that specifically target each head. This workout aims to do just that. Each of the three exercises in this workout places emphasis on a different head of the triceps, allowing you to properly train and build up your upper arm the way you've always wanted. A reverse-grip exercise allows you to focus on the medial head of the triceps. You want to make sure to maintain as much tension as possible so this head does more work. For <a href=""https://www.bodybuilding.com/fun/time-to-grow.html"">constant tension</a>, cable movements work best, and starting with a single-arm movement helps you focus on each arm individually. This exercise also helps warm up your elbows for the rest of the workout. If you are new to <a href=""https://www.bodybuilding.com/content/how-to-program-your-biceps-training-for-pain-free-gains.html"">reverse grip extensions</a>, or it's been awhile, go light with the weight until you're confident with your form. Even if you are comfortable with this exercise, there's no need to go super heavyâchoose a weight that challenges you at about 12 reps. Keep your rest periods short. After all, one arm is already resting while the other is working. Using a neutral grip places more emphasis on the lateral head of the triceps. Doing these extensions lying down helps you isolate the muscle more than if you were standing, which is always better for targeting specific areas of the muscle. You can do this with dumbbells or a triceps bar with vertical handles. If your gym has a <a href=""https://www.bodybuilding.com/content/raise-the-bar-on-triceps-long-head-growth.html"">triceps bar</a>, I'd give that the nod over dumbbells. To execute the movement correctly, lower the weight behind your head so you can maximize the stretch at the bottom of the movement. When you press the weight up, lift it away at an angle like you want to touch the top of the wall behind you. This will keep pressure off the shoulders and more where you want itâon the triceps. Add weight with each set and rest 45 seconds in between. Now that you've targeted the other two heads of the triceps, shift your focus to the long head, the most visible part of the triceps. To maximize the contraction of this muscle, you'll need to be able to flex your wrists and separate your arms. This is why the rope attachment is really the only choice for this exercise. Use the longest rope attachment you can find so you can extend your range of motion. Doing cable press-downs while kneeling minimizes momentum, keeping the work in the triceps. Because of this, your <a href=""https://www.bodybuilding.com/content/4-arm-strategies-doomed-to-fail.html"">form and control</a> will have to be tighter than if you were standing. At the bottom of the movement, separate the rope as you extend through the elbows and squeeze your triceps as hard as you can. Let the rope back up slowly before starting the next rep. You might be tempted to cheat by speeding up the reps, but don't. Extra time under tension is crucial to <a href=""https://www.bodybuilding.com/fun/one-move-for-big-biceps-the-ez-bar-curl.html"">building mass</a>, and slow and controlled reps will help you more in the long run.",Total Triceps Development In One Workout
7,"Fitness model and <a href=""https://www.bodybuilding.com/store/nla-for-her.html"">NLA For Her</a>-sponsored athlete Lais DeLeon is going to help you build the arms you want, but not just by doing a few sets of curls and calling it quits. As DeLeon puts it, the goal of this workout is to build some guns, and to do that, you'll need to include heavier movements like pull-up and pull-down variations and rows, too! These compound moves will do as much for your arms as any curl, while also helping you build strong, shapely back muscles. But don't worry, you'll still get to do some curls, too. DeLeon's workout combines straight sets of strength work in the form of band-assisted pull-ups, followed by 3 supersets to precisely target every part of your back and biceps. This workout should take you about 45 minutes, and your upper body will be burning (in a good way) by the end. Ready? Let's do this! DeLeon loves pull-upsâshe made that much very clear when she was a guest on the <a href=""https://www.bodybuilding.com/fun/podcast-episode-6-walks-whole-eggs-and-pull-ups-lais-deleons-reasonable-fit-life.html"">Bodybuilding.com Podcast</a>. But even if you can't nail a strict, clean rep (yet), you can still rock this workout using a band. ""I love using the band,"" explains DeLeon. ""It mimics the exact same motion, and it still allows you to get great muscle activation."" DeLeon uses the band for her pull-ups, but feel free to do the bodyweight version if you can. Alternately, a training partner could give you a boost with their hands at the knee or hips. To do a band-assisted pull-up, place a heavy-duty band around the top of your pull-up bar and hook one or both knees through as you get into position. The band will to help lift your body as you perform the pull-ups, making it easier to perform the movement and complete more reps. Do 3 sets to failure, or 10-12 reps. Moving on to the first superset of the workout, you'll need a pair of dumbbells for the curls, and a single, heavier dumbbell for the row. As you curl, squeeze at the top for a brief moment before lowering the weights back down. ""I prefer to do these curls seated on the incline,"" says DeLeon. ""It allows me to isolate the biceps and avoid using any momentum."" Once you've done 12 curls, go straight into the single dumbbell row by standing up and steadying yourself on the seat of the same incline bench. Many women find that back is difficult to ""feel"" working with free weights, so experiment with your body positioning and avoid using momentum. ""It's essential to make sure you contract your back muscles on the way up and control the weight as you lower back down,"" explains DeLeon. Complete 12 reps per arm to finish this superset and repeat both exercises for a total of 4 rounds. Next up is the second superset of lat pull-downs and cable rows. ""I love this superset!"" says DeLeon. ""It's a great combo to target your back from all angles."" She uses the V-bar attachment for both exercises, keeping the focus on the middle of the back. Keep your chest up on both exercises, remembering to pull your <a href=""https://www.bodybuilding.com/fun/lais-deleons-shoulder-showdown.html"">shoulder</a> blades down and back on every rep. Complete 4 sets of 12 reps of each exercise. ""I've saved the best for last,"" says Deleon. ""After this superset, you're going to be dying."" If you've never done 21s, they are killer. For the first 7 reps, start at the bottom of the motion and lift only halfway, so you end when your forearms are parallel. For the next 7 reps, start from that halfway position and lift all the way up. For the final 7 reps, do the full range of motion. After those 21s, go straight into hammer curls, holding the dumbbells so your palms face each other the entire time. Do 12 reps of hammer curls, and your superset is complete. Take a restâyou're going to need it to complete these last 3 supersets. After 4 total sets, this workout is a wrap. You're definitely going to be feeling it. Add this workout to <a href=""https://www.bodybuilding.com/fun/lais-deleon-fitness-model-body-workout-plan"">your plan</a> once a week, or whenever you feel like mixing it up.",Build Your Back and Biceps with Lais DeLeon
8,"Outside of CrossFit gyms and PE class, it's been rare to see anyone picking up a jump rope for a workout in the last few years, which is a real shame. Not only is jumping rope a great way to get your heart rate up and work up a sweat, it's also one of the most inexpensive and portable fitness tools ever. It's high time for jumping rope to make a serious comeback, both in the gym and in your personal fitness toolbox! This jump rope workout will only take you 12 minutes, which means you can do it no matter how busy you are. Throw a rope in your gym bag or suitcase so you can take your workout to the park, the crowded gym, or even on vacation. The key to this workout is to really go all out during each 30-second interval. You should be working close to max capacity during each work period to get all you can out of the workout. You'll need an interval timer and a jump rope for this workout. Set your timer for 18 intervals of 30 seconds, with 10-second rests between each one. You guessed it: You'll rest on the 10-second intervals and work as hard as you can on the 30-second ones. Go through the following exercises as a circuit, performing three rounds total. When doing double unders, keep your arms close to your side and avoid splaying your elbows out. Aim for just a slight bend in your knees on the jumpâno need to do a full <a href=""https://www.bodybuilding.com/content/quick-full-body-hiit.html"">tuck jump</a>âso you can keep your double-under rhythm for the full interval. If you can't do double unders (yet), just do regular single-under jumps, and keep practicing! Do a full push-up, then at the top of the push-up position, bring one knee toward your elbow on the same side followed by your other knee on the opposite side. That's one rep. Repeat for the full interval. This exercise is just like a regular high knee jog, except you'll be jumping rope simultaneously. Focus on driving your knees as high as possible and going <a href=""https://www.bodybuilding.com/content/what-is-the-best-hiit-workout.html"">as fast as you can</a> during this exercise. It should feel like a sprint! This is a great lower body <a href=""https://www.bodybuilding.com/content/10-exercises-for-explosive-athletes.html"">plyometric exercise</a> that ties two exercises together in one killer combo move. Start with one jump lunge on each side, then follow with a low squat jump. This counts as a single rep. Do as many reps as you can before time runs out. This jump rope variation tests your coordination while getting your heart rate up. Swing the rope under once as you jump one foot in front of you while the other goes behind you. On the next swing, switch the position of your feet so the opposite foot is in front. Next, land with both feet together in a regular jump rope stance, then finally jump both feet wide in a slight straddle position before starting the sequence over again: Right foot forward, left foot forward, feet together, feet apart. No jump rope on this exercise, just a good old-fashioned <a href=""https://www.bodybuilding.com/content/the-truth-how-to-burn-abdominal-fat.html"">core burner</a>. Make sure you keep your shoulders directly over your hands and core tight as you do these. Pull your knees up high on each rep, and aim for speed!","The No-Excuses, 12-Minute Jump Rope HIIT Workout"
9,"If you're reading this, training your arms is a priority, most likely for one of two reasons: Either you want bigger arms, or you want to improve strength and pressing power. This workout simultaneously helps meet both objectives. Perform this series as a part of your regular bodybuilding training, or add it to your pressing day to boost your upper-body power. Nothing says pushing power like the classic bench press, but this exercise has a twistâspecifically, you'll twist the way you grip the bar. Using an underhand, or reverse, grip on the bar shifts the focus to your triceps. Recruit a spotter for this lift so you can focus on the movement itself without worry. It's almost impossible to reverse bench the same amount of weight you would on the regular version, so don't even try to <a href=""https://www.bodybuilding.com/content/4-arm-strategies-doomed-to-fail.html"">max out</a> on this exercise. If you've never tried this variation before, acquaint yourself with the movement by starting with a light set or two. Once you start your working sets (meaning, the ones that count), add weight as the reps decrease. Rest 90 seconds between each set. If you've only done flat dumbbell extensions, the decline bench presents a new opportunity. The angle of the decline allows for a greater stretch in the <a href=""https://www.bodybuilding.com/fun/build-ripped-triceps-with-this-routine.html"">triceps</a> and goes easy on your shoulder joints. Working with dumbbells means that each arm must carry its own load. This helps with <a href=""https://www.bodybuilding.com/content/the-3-move-shoulder-builder.html"">balance and proportion</a>. If you want to change it up, work each arm one at a time while keeping the other in the stretch position. Another option is to alternate arms like you would with dumbbell curls. Rest 60 seconds between each set. Using cables allows you to keep tension on the triceps throughout the entire range of motion while minimizing recruitment of other muscles. Kneeling helps <a href=""https://www.bodybuilding.com/content/super-pump-arm-workout.html"">restrict momentum</a> and prevents cheating as the set progresses. You can use whichever handle you have available. I find that the rope attachment works best because it allows you to separate your hands at the bottom of the press, slightly increasing your range of motion. Rotate your wrists and extend through your elbows at the bottom for an even greater contraction. Form is important here. If you must reduce the weight to perform better reps, do soâyour size and strength gains will be greater in the long run. Cut the rest time down to only 45 seconds between sets, and <a href=""https://www.bodybuilding.com/content/1-month-to-big-arms.html"">choose a weight</a> that will be challenging by the third set.",3 Moves For Monster Triceps
