,text,title
0,"The first part of this workout by Sarah Hunsberger is all about lifting with intention. You'll be doing nine upper-body exercises in the 8-12 rep range, all the while using the mind-muscle connection to help you focus. As you move through each exercise's range of motion, pay attention to your body to make sure you're using the right muscles for each move. Once you've finished shoulders, Hunsberger will take you through a three-part ab workout on the Swiss ball, continuing to use the mind-muscle connection. Add it all up for 12 moves total. As you go through this workout, follow Hunsberger's lead and move slowly through each exercise, focus on the target muscles, and get that nice torched feeling from waist to shoulders!",12-Move Upper-Body Workout For Women
1,"Look around online and you'll find lots of ""arm workouts for women."" Most of them feature perky young lassies doing hundreds of reps with 3-pound pink weights while dancing the merengue, doing jumping jacks, or basically just standing there posing. This is not that kind of workout. This one will kick your ass, and it'll do it in about a half an hour. Team Bodybuilding.com-sponsored athlete <a href=""https://bodyspace.bodybuilding.com/courtgard"">Courtney Gardner</a>'s workout is intense, with sets in the 10-rep range, short rest periods, a superset, and a double dropset. Your arms will be torched and your heart thumping as you burn through these six relentless exercises. The goal of this exercise is to target the biceps, so keep your elbows tight against your sides so you don't recruit chest or shoulder muscles. This should be all biceps, all the time. Just one slight modification to this classic curl will make your arms freak out. The single-arm hold will increase time under tension, since you're resisting weight even in your ""resting"" arm. As the reps unfold, you'll be tempted to let that resting dumbbell drop. Rather than giving in, do your best to hold your ""non-working"" arm steady at 90 degrees. This is one of the best triceps exercises. To reap the full benefit, keep your elbows in and squeeze your triceps at the top. Engage your core throughout each set. Keep your hands next to your hips on the bench to avoid putting extra tension on your shoulders. Your feet can go on the floor or up on another bench. In all the arm exercises you've done in this workout so far, you've used a supinated (wrists turned up) grip. Switch here to a neutral grip, with your hands perpendicular to your body and facing each other. Switching grips enables you to target the same muscle at different angles. End this short workout with a total burnout sequence. Do 10 reps, drop the weight and, with no rest, do 10 more reps. Drop the weight again and go directly into 10 more reps. This is the last exercise of the workout, so keep going and finish strongâeven when you feel like you've got wet cement in your veins and your arms are going to fall off.",30-Minute Kick-Ass Arm Workout
2,"We hear you: Sometimes, going to the gym just sucks. So what do you do when you know you need to work out, but you just don't want to deal with the travel and the crowds? Find a flight of stairs, and have some sweaty fun with our 15-Minute Stair Workout. All you need is a pair of sneakers and a good plan! Here's one of our favorite stair workouts. It's quick, tough, and will challenge you in unique ways. Use a flight of stairs that has at least 10 steps. (More is better.) Perform each exercise for 3-5 sets. Rest as much as you need, but remember that limiting rest helps increase your heart rate so you can burn more calories. If you're newer to fitness, some of these exercises may seem a little scary or difficult. We only ask that you try! After that, do what you can. If you're more experienced, bring the intensity and you'll still find this routine gives you the challenge you want! <strong>1. Warm-up: 5 minutes</strong> <strong>2. Stair run: 3-5 sets</strong> <strong>3. Stair squat hop: 3-5 sets</strong> <strong>4. Stair side step: 3-5 sets</strong> <strong>5. Stair glute raise: 3-5 sets</strong> <strong>6. Stair push-up: 3-5 sets</strong> <strong>7. Stair crawl: 3-5 sets</strong>",Got 15 Minutes? Hit The Stairs With This Plan
3,"As one of our earliest and still most popular 12-week plans, Jamie Eason's iconic <a href=""https://www.bodybuilding.com/fun/jamie-eason-livefit-trainer.html"">LiveFit 12-Week Trainer</a> has more than earned reverence at Bodybuilding.com. But, we tend to speak of the program like it's two different entities; there's LiveFitâ¦and there's <a href=""https://www.bodybuilding.com/fun/jamie-easons-livefit-phase-3.html"">LiveFit phase three</a>. During the final four weeks, Jamie opens the floodgates, giving you a real window into how a fitness model trainsâand a real opportunity to achieve a lasting transformation, if your schedule and mental resolve are up to the task. This is hard, heavy stuff that will challenge any lifter, of any experience level. If you can make it through this, you've earned your after photo! If you want to go tough on your back and biceps this week, try tackling this classic workout from week nine (day sixty-one) of LiveFit.",Are You Tough Enough For Jamie Eason's Classic Back-And-Biceps Routine?
4,"When it comes to fitting in a total-body workout, time can be an issue. But get ready to nix the excuses and hit the gym with <a href=""https://www.bodybuilding.com/store/nla-for-her.html"">NLA</a> athlete, IFBB pro, and creator of the Jessie's Girls Training Programs, <a href=""https://www.bodybuilding.com/author/jessie-hilgenberg"">Jessie Hilgenberg</a>. She's a huge proponent of <a href=""https://www.bodybuilding.com/fun/6-reasons-women-should-lift.html"">women lifting weights</a>, getting stronger, and fearlessly setting new goals.   As she'll tell you, lifting is about more than looking good in the mirror. It can transform you from the inside out, and change your life for the better in ways you can't predict. Not only will you boost your confidence, but you'll burn more calories, sculpt all the right curves, and even strengthen your bones.  And you don't need to block out an hour or more to do it! This 30-minute workout will challenge your entire body. Find yourself with a bit more time after this workout's done? Get in some cardio with Jessie's <a href=""https://www.bodybuilding.com/fun/jessie-hilgenbergs-power-plyo-circuit-workout"">power plyo workout</a>. Not only will you develop explosive power, but you'll also take your leg training to the next level. You're going to kick off this workout with a Smith machine triset of squats, lunges, and rows. This trifecta will target your quads, hamstrings, and glutes, while hitting your upper body in the back, biceps, and traps. Then, you'll do a few more total-body movements for good measure.  This variation is only slightly different from the standard squat, but the difference is one you'll definitely feel. After you press out of the hole, pause for a moment halfway up. Then, squat all the way back down, maintaining a flat back and keeping the weight in your heels. Then, come all the way back up to your starting position. All of that equals one rep. This added time under tension means you might want to start out with a slightly lighter weight.  Think of these as a horizontal barbell pull-up. Strengthen your middle back while improving your grip strength, and even getting in some arm training.  Use a grip slightly wider than shoulder-width, and keep your body straight, with your heels on the ground, throughout the movement. Retract your shoulder blades as you pull your chest toward the bar, and pause momentarily at the top of the movement before lowering yourself down.  Hit your quads hard with this lower-body exercise and also target the calves, glutes, and hamstrings. Make sure to keep your body upright, hips tilted forward, and head up throughout the movement.  Make sure you're stepping back far enough that your knee doesn't surpass your toes on your leading leg, but instead forms a right angle. Perform all your reps for one leg before switching to the other.  Strengthen your middle back, posture, and your overall upper-body pulling strength with this classic bodybuilding movement.  The key here is control. Hinge at the waist, and keep your back straight at around a 45-degree angle throughout the set. Pause at the top, contract your back muscles, and slowly lower the weight under control.  Time for some abs! You'll especially target your lower abs here, but make no mistake, your entire core will get worked with each rep. Looking to lighten the challenge? Make this exercise easier by decreasing the decline on the bench.  This deceivingly simple move targets your posterior deltoids and middle and upper back, while improving posture and shoulder balance. Your core will get a surprising amount of work as well, even at a light weight. Use a neutral grip, squeeze at the top of the movement, and return in a slow and controlled manner. No stack-slamming here! ",Jessie Hilgenberg's Half-Hour Of Power Workout
5,"Whether you're looking for a quick way to fit a workout into an already-packed schedule or you're just looking to get the most bang for your buck with a home-gym setup, this total-body workout can be done with limited space and equipment. Megan Lunge, AFAA certified personal trainer and founder of the Fuel Your Fitness Method, designed this routine to target your entire body while emphasizing high repetitions and stabilizing movements to fatigue your muscles. All you need is a <a href=""https://www.bodybuilding.com/store/dumbbells.html"">dumbbell</a>. If you donât have access to a dumbbell, improvise! Substitute a jug of laundry detergent or even a gallon jug of water. No excuses. You can make this work! Perform 20 reps per side. Repeat all reps on one side before switching to the other side. <strong>Works:</strong> Glutes, hamstrings, quads, core, shoulders <strong>Works:</strong> Glutes, hamstrings, quads, core <strong>Works:</strong> Glutes, hamstrings, quads, core, shoulders <strong>Works:</strong> Glutes, hamstrings, core <strong>Works:</strong> Glutes, hamstrings, quads, core, biceps <strong>Works:</strong> Calves, core, triceps <strong>Works:</strong> Glutes, hamstrings, quads, core, traps, middle delts <strong>Works:</strong> Glutes, hamstrings, quads, core",The One-Weight Total-Body Do-Anywhere Workout
6,"Finding the right workout partner is almost as difficult as finding a spouse, but hooking up with the right one can pay big dividends. Among them, support, accountability, and motivation are often cited. You can even create a healthy sense of competition that pushes you just a little more. In the weight room, I find that I'm often able to complete heavier sets or do more reps than I'd otherwise be able to do on my own. Besides being a spotter and cheerleader on heavy sets, a partner can watch your form and provide feedback, especially as you fatigue. I also find I'm less likely to blow off cardio sessions when someone is waiting for me. Is there a quantifiable benefit? A study in the Annals of Behavioral Medicine sought to determine the training effects of a workout partner on cardio work and whether it could appreciably improve results.[1] In the study, 58 women were divided into the following groups that exercised on a stationary bike at a given percentage of their heart rate (65 percent of heart-rate reserve) for time on six separate occasions: One group exercised by themselves. One group exercised with an onscreen partner via virtual link but independently from them. One group exercised with an onscreen partner, but the ""partner"" was in fact a taped loop, so the partner was always better than the subject. The subject was also told the performance would be judged by whichever partner stopped exercising first, essentially motivating the subject to train longer. g-stockstudio/Shutterstock The results showed that solo riders lasted on average 10.6 minutes before stopping. The group that trained with independently working partners averaged 19.77 minutes, and the group that trained with a teammate motivated by not wanting to be the low score trained the longest at 21.89 minutes. The third group, in fact, was on their bikes more than double the amount of time than the cyclers who did it alone. It should be noted that significantly increasing workout length like this can lead to major fitness gains over time, especially during aerobic-type training. (Be aware that pushing your body too far too often can be counterproductive in terms of muscle strength and hypertrophy.) Working with a partner in either a friendly or competitive way can allow you to achieve better and faster results during cardio training, and you may be able to reap additional gains with someone who is in better physical condition than you are as you try and keep up with them.",Double Your Cardio Performance With A Workout Partner
7,"We've all probably done a plank or two before, right? Whether you're aiming for a 1-minute hold or challenging yourself in the fully elevated position, a static plank can get a bit dull after a while. Don't get me wrong, I'm a huge fan of planks—and their modifications. These exercises are incredibly effective for overall core strength and can help to improve your posture. As a bonus, they can work your entire body, depending on what type of plank you do. This all sounds a lot more fun than just a static hold, doesn't it?  I love to switch things up with my workouts. I often take the most basic version of an exercise—in this example, a plank—and then add another element. Doing so provides a fun new challenge, keeps my body guessing, and expands my exercise repertoire.  Before you try these variations, a note of caution: Make sure you have your form down on both elbow and fully extended planks first. You want to feel confident with those moves before kicking things up a notch. I love adding this exercise in as a cardio burst between sets when I'm strength training. It's especially good for an extra challenge on an upper-body day. Not only does this movement elevate your heart rate, it also works your chest, shoulders, back, and triceps (along with your core, of course).  <strong>Tip:</strong> Your hips shouldn't rotate when you're moving up and down. The key is to keep your glutes tight and maintain a neutral spine throughout the motion, even though you're going from hands to elbows. Your upper body should be the only thing making swift movements. Ah, the plank jack—such a fun hybrid of planks and those jumping jacks I despised having to do back in my PE class during junior high. Should be fun, right? You're getting a cardio burst workout while working your lower body (think glutes firing on each movement). You're also engaging your chest, shoulders, back, triceps, and many stabilizer muscles with every single rep. There are a few ways to do these, and honestly, they pretty much come down to personal preference, pre-existing injuries, and just how high-impact you'd like to make the ""jack"" motion of your plank. Adding these in toward the end of an upper-body workout (between sets of chest or shoulder exercises especially) serves as an extra challenge and bonus burnout exercise for upper body. <strong>Tip:</strong> Keep your upper body stationary the entire time. Don't jump out with your arms as you do with your legs. Looking to make plank jacks even more challenging? Add a loop band right above or below your knees. This will challenge your glutes and stabilizer muscles even more! These are one of my absolute favorite <a href=""https://www.bodybuilding.com/exercises/finder/lookup/filter/equipment/id/5/equipment/body-only"">bodyweight exercises</a>! I love this combo so much that I'll even add it on days I'm at the gym, not just for workouts on the go. We all know how awesome push-ups are for overall strength, so combine a push-up with a side-plank rotation to work your entire body. I like to start with this combo on days I train chest, so I do this before I've fatigued my upper body with serious weight training.  You're literally getting in a total-body workout with this push-up to side-plank rotation combo. Your core is engaged, all of your upper body is working with each push-up, and your lower body is engaged even more when you're in that side-plank position. As a bonus, your heart rate will be more elevated during these movements than it would be in just a static plank.  <strong>Tip:</strong> If this combo sounds too crazy, begin from a modified push-up position on your knees. You can still perform a modified side-plank rotation from the knee position. Build your strength and coordination here, then work up to one, two, and three sets of the full push-ups to side-plank rotations. Here's another way to turn your plank into a total-body workout. I love to incorporate these into my core training for a great ab and lower-back workout. You'll improve your strength, balance, and coordination as you alternate extending one arm and one leg at the same time. Just remember to use opposite sides, or you may find balancing even more complicated. <strong>Tip:</strong> If you're new to this, begin in the elevated-plank position. Extend your left arm first, then lower it before extending your back right leg and lowering it. I often superset this exercise with a set of reverse crunches on a decline bench. I use it at the end of a workout when I'm concentrating on abs, or add it to an at-home yoga day. Side planks are another fun challenge. You can perform these on your elbows or fully extended. As with the other plank variations, you'll be challenging your core but placing an extra emphasis on your obliques as you push through your elbow/forearm or the palm of your hand from the elevated position. Aside from serving as a challenge to your core, back, and obliques, this move works your glutes and inner thigh muscles. Win-win! I would not typically include all the planks listed above in one workout, as I think that would be a bit of a plank-palooza. Instead, here's a fun way to do a HIIT-style bodyweight workout at home while incorporating a few of the plank variations.  Perform one set of each exercise back-to-back for 30 seconds. Rest briefly (30-60 seconds) after completing one full round of the HIIT circuit below. Then repeat the circuit until you've completed 3-5 rounds. ",5 Ways To Make Your Planks Harder And More Effective!
8,"Ready for a glute-and-hamstring workout that will help you grow a bigger butt and stronger hamstrings? Then my Backside-Blasting Workout is for you! I'll recommend some set and rep ranges, but you can adjust these based on your goals. If you  want to build more muscle, drop the number of sets and increase the weight. If you want it to be more of a conditioning workout, increase the reps and take some weight off the bar.  This workout is tough and might leave your muscles aching for a few days afterward. If you train legs twice a week like I do, use this workout on your hamstring-and-glute day. Just make sure to allow time for rest and recovery before your next leg day.  Start off with a superset of single-leg cable kick-backs and bodyweight hip thrusts to warm up your muscles. Just be sure not to rush, especially at the peak of contraction. While you don't need to worry about making the negative or descending portion longer than a 2-second count, make sure to squeeze your muscles at the top of the movement. And squeeze at the top for at least 1 second on the bodyweight hip thrust.  The rep range for this superset is fairly low, so you'll want to do the first half with heavier weight. Keeping the rep range lower and upping the weight will encourage muscle growth. Although I'm saying to go heavy, I want you to pick a weight that allows you to perform the exercise correctly and with proper form. Choose a foot stance you're comfortable with. I tend to have a wider stance when I do back squats.  The squat jumps are all about power and help you push yourself. After a compound movement like the back squat, the last thing you likely want to do is jump into something that's cardio-based, so this superset will test your limits.  These are great for building hamstrings and glutes. Focus on the mind-muscle connection and think about where you're pulling from. At the top, push hard, lock out, and squeeze your glutes for complete muscle activation.  You want to hurt, so pick a weight that causes you to struggle a bit and pushes you outside your comfort zone. You're trying to build muscle. Use a weight you'll feel.  I'm a fan of using bodyweight as an exercise tool. The combination of glute bridges and leg curls in this exercise proves that sometimes you don't even need weightâyou can get a good burn just by engaging the muscles correctly. As with all of these exercises, engage your core continuously throughout the movement.  Time for your finisher! You only get 20 seconds of rest between sets. so you'll likely have to choose a lighter weight. Set your ego aside, and don't be too ambitious. After 3-4 sets, I guarantee you will feel the burn. This is an excellent exercise to build your hamstrings and get that sweep on the back of the leg.",Imogen Parfitt's Backside-Blasting Workout
9,"Stiff ankles. As a physical therapist, I hear about this problem all the time. Patients come in with complaints like ""I can't squat below parallel because of my ankles"" or ""If only I had more ankle mobility, I could finally nail that pistol squat!"" Decreased ankle mobility is a common theme, especially among women. Fortunately, understanding the causes and performing mobility drills can help you loosen those joints up. People tend to complain about reduced ankle mobility during one lift in particular: the squatâspecifically, the bottom of the squat. In the bottom (or hole), your ankles need to be fully flexed, known as dorsiflexion. If your range of motion is limited, you won't be able to squat past parallel without being in pain. So, what causes decreased ankle mobility? The major culprits include stiffness at the joint or joint capsule, muscle tension, muscle imbalances, and chronically tight muscles. Ladies, I'm talking to you. If you frequently wear high heels, your ankle range of motion is going to be affected. Your ankle isn't able to move through a full range of motion in heels, which creates stiffness, and you're walking around with shortened calf muscles, which leads to chronically tight calves. Now, this isn't to say that only those of you who wear high heels will have tight calves; there are plenty of other reasons, including muscle imbalances in the feet, legs, or hips; altered gait patterns; and specific techniques such as forefoot running. Regardless of the reason, it's important to address any tightness or imbalance. These mobility drills are simple yet effective ways to improve your ankle mobility so you can rock the bottom position of your squat. The best part: All four exercises can be done in under 6 minutes, so you've got no excuse not include them in you training session. I'm fairly confident you will find a few tender spots that could use your attention by doing this move, specifically in the arch of your foot and in your calf muscles. Oh, and remember when I said that these exercises should not cause any pain? This may be the one exception to that rule. If you are tight here, you are going to find some tender spots. Just be sure to not push too hard (no need to grimace!) and remember to avoid bony areas. This is a great stretch because it not only stretches out your calves but also gets the whole body (including the ankles) moving! This is a fairly simple exercise that achieves improved mobility at the joint itself. Okay, this move sometimes confuses people. If you are wearing lifting shoes or shoes with a high heel, you can more easily get lower in your squat. If this is true, is it also true that wearing these shoes can actually limit your range? As I said before, it comes down to muscle imbalance. We need our muscles to be working efficiently and effectively to provide stability and allow us to move well and through a full range of motion. If our muscles are not doing this job well, other muscles have to kick in to help. Joints will also take some of the role of stabilizing and start to lock down, reducing their range of motion. This is why it is critical to include some specific barefoot training and foot-strengthening exercises in your training program. Does that mean you always have to lift barefoot? Not at all, but it does mean you need to carve out a few minutes every single day to specifically train those feet, ankle, and lower-leg muscles by doing exercises barefoot. Start with this one, a not-always-so-easy way to balance on one foot known as ""short foot."" This simple exercise proves to be very challenging for many people, as it forces all of the smaller muscles of the foot and lower leg to engage and work together. Time yourself, and see how long you can get. Once you feel confident with this exercise, there are so many ways to incorporate this exercise into your barefoot training!",Increase Ankle Mobility For Deeper Squats
